Sample	Genome	Coverage	Resolution	Score
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	40000	0.00255728178492
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	200000	0.0230904947756
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	1000000	0.0900775267978
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	40000	0.00705825044406
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	200000	0.0440642898293
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	1000000	0.115542592596
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	40000	0.0170947265136
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	200000	0.0718131046501
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	1000000	0.135004592748
Encode_hg38_G401_HindIII_Rep2	hg38	0	40000	0.0171422170962
Encode_hg38_G401_HindIII_Rep2	hg38	0	200000	0.0711793358272
Encode_hg38_G401_HindIII_Rep2	hg38	0	1000000	0.131849514675
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	40000	0.000235377421098
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	200000	0.0027899209364
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	1000000	0.0285178301876
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	40000	0.000612434169337
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	200000	0.00754660985983
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	1000000	0.0509563541752
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	40000	0.00248564038556
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	200000	0.0227267303948
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	1000000	0.0870851077682
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	40000	0.0068299506357
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	200000	0.0432152886206
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	1000000	0.112556153376
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	40000	0.016518577308
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	200000	0.0698577967131
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	1000000	0.131230668283
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	40000	0.00332029339906
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	200000	0.0242185041638
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	1000000	0.0679319377771
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	40000	0.000175234838019
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	200000	0.00184069801333
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	1000000	0.0211222582074
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	40000	0.000447247556245
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	200000	0.00505390724575
