Sample	Genome	Noise	Resolution	Score
Encode_hg38_Caki2_HindIII_Rep1	hg38	50	200000	0.0615595137919
Encode_hg38_Caki2_HindIII_Rep1	hg38	50	1000000	0.126392191804
Encode_hg38_Caki2_HindIII_Rep1	hg38	100	40000	0.0145512876561
Encode_hg38_Caki2_HindIII_Rep1	hg38	100	200000	0.0593861150318
Encode_hg38_Caki2_HindIII_Rep1	hg38	100	1000000	0.125169692183
Encode_hg38_Caki2_HindIII_Rep1	hg38	200	40000	0.0125341463516
Encode_hg38_Caki2_HindIII_Rep1	hg38	200	200000	0.0546904197992
Encode_hg38_Caki2_HindIII_Rep1	hg38	200	1000000	0.122198303396
Encode_hg38_Caki2_HindIII_Rep1	hg38	350	40000	0.00952946039704
Encode_hg38_Caki2_HindIII_Rep1	hg38	350	200000	0.0466351633446
Encode_hg38_Caki2_HindIII_Rep1	hg38	350	1000000	0.116454421471
Encode_hg38_Caki2_HindIII_Rep1	hg38	500	40000	0.00663172261223
Encode_hg38_Caki2_HindIII_Rep1	hg38	500	200000	0.0373616338952
Encode_hg38_Caki2_HindIII_Rep1	hg38	500	1000000	0.108198370168
Encode_hg38_Caki2_HindIII_Rep1	hg38	750	40000	0.0023802287255
Encode_hg38_Caki2_HindIII_Rep1	hg38	750	200000	0.0185384527247
Encode_hg38_Caki2_HindIII_Rep1	hg38	750	1000000	0.0824872065036
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	40000	0.0277188185645
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	200000	0.0822591694753
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	1000000	0.131742611252
Encode_hg38_Caki2_HindIII_Rep2	hg38	1	40000	0.0276948736939
Encode_hg38_Caki2_HindIII_Rep2	hg38	1	200000	0.082218463138
Encode_hg38_Caki2_HindIII_Rep2	hg38	1	1000000	0.131720230511
Encode_hg38_Caki2_HindIII_Rep2	hg38	5	40000	0.0275754265152
Encode_hg38_Caki2_HindIII_Rep2	hg38	5	200000	0.0820392897966
Encode_hg38_Caki2_HindIII_Rep2	hg38	5	1000000	0.131576821264
Encode_hg38_Caki2_HindIII_Rep2	hg38	10	40000	0.027435625052
Encode_hg38_Caki2_HindIII_Rep2	hg38	10	200000	0.0818400382896
Encode_hg38_Caki2_HindIII_Rep2	hg38	10	1000000	0.131470755779
Encode_hg38_Caki2_HindIII_Rep2	hg38	20	40000	0.0271577506274
Encode_hg38_Caki2_HindIII_Rep2	hg38	20	200000	0.0814258197407
Encode_hg38_Caki2_HindIII_Rep2	hg38	20	1000000	0.131326124203
Encode_hg38_Caki2_HindIII_Rep2	hg38	50	40000	0.0262799301264
Encode_hg38_Caki2_HindIII_Rep2	hg38	50	200000	0.080158573588
Encode_hg38_Caki2_HindIII_Rep2	hg38	50	1000000	0.130659809691
Encode_hg38_Caki2_HindIII_Rep2	hg38	100	40000	0.024811933577
Encode_hg38_Caki2_HindIII_Rep2	hg38	100	200000	0.0778798140806
Encode_hg38_Caki2_HindIII_Rep2	hg38	100	1000000	0.12981060342
Encode_hg38_Caki2_HindIII_Rep2	hg38	200	40000	0.0217820361817
Encode_hg38_Caki2_HindIII_Rep2	hg38	200	200000	0.0727831900109
Encode_hg38_Caki2_HindIII_Rep2	hg38	200	1000000	0.127943864978
Encode_hg38_Caki2_HindIII_Rep2	hg38	350	40000	0.0171320650304
Encode_hg38_Caki2_HindIII_Rep2	hg38	350	200000	0.0642448051879
Encode_hg38_Caki2_HindIII_Rep2	hg38	350	1000000	0.123946377529
Encode_hg38_Caki2_HindIII_Rep2	hg38	500	40000	0.0123591436177
Encode_hg38_Caki2_HindIII_Rep2	hg38	500	200000	0.0535084427184
Encode_hg38_Caki2_HindIII_Rep2	hg38	500	1000000	0.118008533881
Encode_hg38_Caki2_HindIII_Rep2	hg38	750	40000	0.00476236622756
Encode_hg38_Caki2_HindIII_Rep2	hg38	750	200000	0.0295954423734
Encode_hg38_Caki2_HindIII_Rep2	hg38	750	1000000	0.0970780838542
Encode_hg38_G401_HindIII_Rep1	hg38	0	40000	0.0313102440067
Encode_hg38_G401_HindIII_Rep1	hg38	0	200000	0.0956612623096
Encode_hg38_G401_HindIII_Rep1	hg38	0	1000000	0.145539973376
Encode_hg38_G401_HindIII_Rep1	hg38	1	40000	0.0312806175399
Encode_hg38_G401_HindIII_Rep1	hg38	1	200000	0.0956252034596
Encode_hg38_G401_HindIII_Rep1	hg38	1	1000000	0.145518605949
Encode_hg38_G401_HindIII_Rep1	hg38	5	40000	0.0311615170255
Encode_hg38_G401_HindIII_Rep1	hg38	5	200000	0.0954514457756
Encode_hg38_G401_HindIII_Rep1	hg38	5	1000000	0.145453086668
Encode_hg38_G401_HindIII_Rep1	hg38	10	40000	0.0310162963998
Encode_hg38_G401_HindIII_Rep1	hg38	10	200000	0.0952466734554
Encode_hg38_G401_HindIII_Rep1	hg38	10	1000000	0.145372739642
Encode_hg38_G401_HindIII_Rep1	hg38	20	40000	0.0307196267319
Encode_hg38_G401_HindIII_Rep1	hg38	20	200000	0.0948497984592
Encode_hg38_G401_HindIII_Rep1	hg38	20	1000000	0.145230497958
Encode_hg38_G401_HindIII_Rep1	hg38	50	40000	0.0298187837678
Encode_hg38_G401_HindIII_Rep1	hg38	50	200000	0.0935939830188
Encode_hg38_G401_HindIII_Rep1	hg38	50	1000000	0.144759186957
Encode_hg38_G401_HindIII_Rep1	hg38	100	40000	0.0283054729135
Encode_hg38_G401_HindIII_Rep1	hg38	100	200000	0.0913717579772
Encode_hg38_G401_HindIII_Rep1	hg38	100	1000000	0.143919092263
Encode_hg38_G401_HindIII_Rep1	hg38	200	40000	0.0251303391006
Encode_hg38_G401_HindIII_Rep1	hg38	200	200000	0.0865465579916
Encode_hg38_G401_HindIII_Rep1	hg38	200	1000000	0.141862775654
Encode_hg38_G401_HindIII_Rep1	hg38	350	40000	0.0201129228939
Encode_hg38_G401_HindIII_Rep1	hg38	350	200000	0.0777604237425
Encode_hg38_G401_HindIII_Rep1	hg38	350	1000000	0.13807129018
Encode_hg38_G401_HindIII_Rep1	hg38	500	40000	0.014885026541
Encode_hg38_G401_HindIII_Rep1	hg38	500	200000	0.0668905155999
Encode_hg38_G401_HindIII_Rep1	hg38	500	1000000	0.132143992614
Encode_hg38_G401_HindIII_Rep1	hg38	750	40000	0.00596412223311
Encode_hg38_G401_HindIII_Rep1	hg38	750	200000	0.0401010498107
Encode_hg38_G401_HindIII_Rep1	hg38	750	1000000	0.111139723157
Encode_hg38_G401_HindIII_Rep2	hg38	0	40000	0.0171682392474
Encode_hg38_G401_HindIII_Rep2	hg38	0	200000	0.0712472904513
Encode_hg38_G401_HindIII_Rep2	hg38	0	1000000	0.131779738868
Encode_hg38_G401_HindIII_Rep2	hg38	1	40000	0.0171496606594
Encode_hg38_G401_HindIII_Rep2	hg38	1	200000	0.0712184578388
Encode_hg38_G401_HindIII_Rep2	hg38	1	1000000	0.13176370703
Encode_hg38_G401_HindIII_Rep2	hg38	5	40000	0.0170714926036
Encode_hg38_G401_HindIII_Rep2	hg38	5	200000	0.0710645168697
Encode_hg38_G401_HindIII_Rep2	hg38	5	1000000	0.131685641827
Encode_hg38_G401_HindIII_Rep2	hg38	10	40000	0.0169692308991
Encode_hg38_G401_HindIII_Rep2	hg38	10	200000	0.0708660656875
Encode_hg38_G401_HindIII_Rep2	hg38	10	1000000	0.131599887565
Encode_hg38_G401_HindIII_Rep2	hg38	20	40000	0.0167727479962
Encode_hg38_G401_HindIII_Rep2	hg38	20	200000	0.07042304871
Encode_hg38_G401_HindIII_Rep2	hg38	20	1000000	0.131427371879
Encode_hg38_G401_HindIII_Rep2	hg38	50	40000	0.0161888275477
Encode_hg38_G401_HindIII_Rep2	hg38	50	200000	0.0691376671298
Encode_hg38_G401_HindIII_Rep2	hg38	50	1000000	0.130772025909
Encode_hg38_G401_HindIII_Rep2	hg38	100	40000	0.0151948252496
Encode_hg38_G401_HindIII_Rep2	hg38	100	200000	0.0669425245931
Encode_hg38_G401_HindIII_Rep2	hg38	100	1000000	0.129439414954
Encode_hg38_G401_HindIII_Rep2	hg38	200	40000	0.0131792602207
Encode_hg38_G401_HindIII_Rep2	hg38	200	200000	0.0622093403936
Encode_hg38_G401_HindIII_Rep2	hg38	200	1000000	0.126573210253
Encode_hg38_G401_HindIII_Rep2	hg38	350	40000	0.0101416071545
Encode_hg38_G401_HindIII_Rep2	hg38	350	200000	0.054069006446
Encode_hg38_G401_HindIII_Rep2	hg38	350	1000000	0.121316805863
Encode_hg38_G401_HindIII_Rep2	hg38	500	40000	0.00716297575975
Encode_hg38_G401_HindIII_Rep2	hg38	500	200000	0.0444786274547
Encode_hg38_G401_HindIII_Rep2	hg38	500	1000000	0.11383274479
Encode_hg38_G401_HindIII_Rep2	hg38	750	40000	0.00260672088855
Encode_hg38_G401_HindIII_Rep2	hg38	750	200000	0.0235172511088
Encode_hg38_G401_HindIII_Rep2	hg38	750	1000000	0.0886497003423
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	40000	0.0033263490481
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	200000	0.024252793128
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	1000000	0.0679706828166
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1	40000	0.00332158656575
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1	200000	0.0242273633938
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1	1000000	0.0679415723729
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5	40000	0.0033041763683
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5	200000	0.0241172331735
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5	1000000	0.0678406499723
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	10	40000	0.00327834514614
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	10	200000	0.0239938173823
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	10	1000000	0.0677244048045
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	20	40000	0.00322579061322
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	20	200000	0.0237484286442
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	20	1000000	0.0675354284287
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	50	40000	0.00307392994919
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	50	200000	0.0230401491788
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	50	1000000	0.0669536964098
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	100	40000	0.00283038078159
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	100	200000	0.0218073600712
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	100	1000000	0.0658082336194
